date,open,high,low,close
2019-05-29,9.6056728800,9.7844192200,9.5279570800,9.6367592000
2019-05-30,9.5745865600,9.6212160400,9.4113833800,9.4968707600
2019-05-31,9.4502412800,9.6367592000,9.4113833800,9.4657844400
2019-06-03,9.4968707600,9.5823581400,9.1860075600,9.2481802000
2019-06-04,9.2404086200,9.2792665200,9.0150328000,9.2093223000
2019-06-05,9.3025812600,9.4346981200,9.2637233600,9.3025812600
2019-06-06,9.3025812600,9.3802970600,9.2404086200,9.2637233600
2019-06-10,9.3336675800,9.6911602600,9.3103528400,9.5901297200
2019-06-11,9.5901297200,9.8854497600,9.5590434000,9.8310487000
2019-06-12,9.8155055400,9.8388202800,9.6678455200,9.7688760600
2019-06-13,9.7455613200,9.8543634400,9.6600739400,9.7844192200
2019-06-14,9.7844192200,9.8621350200,9.6756171000,9.7067034200
2019-06-17,9.6989318400,9.9398508200,9.6989318400,9.8465918600
2019-06-18,9.8465918600,9.9864803000,9.7844192200,9.9476224000
2019-06-19,10.3284298200,10.4061456200,10.1108255800,10.1574550600
2019-06-20,10.2351708600,10.8413541000,10.1963129600,10.7247804000
2019-06-21,10.6936940800,10.7791814600,10.5538056400,10.6004351200
2019-06-24,10.6392930200,10.7480951400,10.5771203800,10.6392930200
2019-06-25,10.6626077600,10.6626077600,10.1574550600,10.4372319400
2019-06-26,10.4215148800,10.6021440000,10.3586873600,10.5000492800
2019-06-27,10.6021440000,10.8770144000,10.5628768000,10.7670662400
2019-06-28,10.7827731200,10.8298937600,10.6649715200,10.8220403200
2019-07-01,11.0026694400,11.1361779200,10.8927212800,10.9398419200
2019-07-02,10.9005747200,11.1832985600,10.8848678400,11.1361779200
2019-07-03,11.1361779200,11.1597382400,10.8927212800,11.0026694400
2019-07-04,11.0026694400,11.2147123200,10.9005747200,10.9869625600
2019-07-05,10.9555488000,10.9791091200,10.7513593600,10.9319884800
2019-07-08,10.8534540800,10.9005747200,10.5628768000,10.6728249600
2019-07-09,10.7042387200,10.7670662400,10.5550233600,10.6728249600
2019-07-10,10.6885318400,10.7592128000,10.5942905600,10.6492646400
2019-07-11,10.7435059200,10.8220403200,10.6257043200,10.6335577600
2019-07-12,10.6806784000,11.1754451200,10.6649715200,11.0890572800
2019-07-15,11.0183763200,11.0890572800,10.8691609600,10.9948160000
